Retina	Diameter
WT OD	73.92
WT OD	61.52
WT OD	91.21
WT OD	72.56
WT OD	79.24
WT OD	55.31
WT OD	74.95
WT OD	86.88
WT OD	72.49
WT OD	50.32
WT OD	43.17
WT OD	56.56
WT OD	163.26
WT OD	159.39
WT OD	165.46
WT OD	131.24
WT OD	157.63
WT OD	224.89
KO OD	31.56
KO OD	62.28
KO OD	50.7
KO OD	34.2
KO OD	54.64
KO OD	52.2
KO OD	38.41
KO OD	58.25
KO OD	41.88
KO OD	27.24
KO OD	20.42
KO OD	39.24
KO OD	21.36
KO OD	25.71
KO OD	36.87
KO OD	24.62
KO OD	18.2
KO OD	16.55
KO OD	16.76
KO OD	18.97
KO OD	17.88
KO OD	19.69
KO OD	110.8
KO OD	85.58
KO OD	68.88
KO OD	58.67
KO OD	132.08
KO OD	64.53
KO OD	76.41
WT Periphery	41.01
WT Periphery	41.23
WT Periphery	44.55
WT Periphery	44.94
WT Periphery	51.66
WT Periphery	31.31
WT Periphery	55.17
WT Periphery	41.61
WT Periphery	47.16
WT Periphery	47.63
WT Periphery	35.55
WT Periphery	36.71
WT Periphery	43.18
WT Periphery	50.38
WT Periphery	115.26
WT Periphery	91.04
WT Periphery	58.66
WT Periphery	111.503
WT Periphery	87.36
WT Periphery	65.05
WT Periphery	89.93
WT Periphery	111.03
WT Periphery	115.45
WT Periphery	118.98
WT Periphery	84.4
KO periphery	24.05
KO periphery	35.8
KO periphery	37.01
KO periphery	31.82
KO periphery	23.53
KO periphery	25
KO periphery	33.97
KO periphery	35
KO periphery	41.01
KO periphery	77.02
KO periphery	79.51
KO periphery	45
KO periphery	54.45
KO periphery	29.09
KO periphery	36.23
KO periphery	24.82
KO periphery	46.33
KO periphery	74.62
KO periphery	79.32
KO periphery	68.41
KO periphery	58
KO periphery	43.93
KO periphery	54.48
KO periphery	19.72
KO periphery	15.88
KO periphery	19.91
KO periphery	81.68
KO periphery	100.44
KO periphery	112.43
KO periphery	18.06
KO periphery	20.08	
