Type	Sample	Value
Axon_length	Control	1419.287
Axon_length	Control	2227.387
Axon_length	Control	493.071
Axon_length	Control	1030.793
Axon_length	Control	306.156
Axon_length	Control	269.828
Axon_length	Control	1655.972
Axon_length	Control	400.629
Axon_length	Control	405.476
Axon_length	Control	1083.101
Axon_length	Control	2006.931
Axon_length	Control	1102.808
Axon_length	Control	511.698
Axon_length	Control	843.962
Axon_length	Control	886.882
Axon_length	Control	607.177
Axon_length	Control	769.143
Axon_length	Control	1535.705
Axon_length	Control	1701.527
Axon_length	Control	1252.392
Axon_length	Control	660.005
Axon_length	Control	538.937
Axon_length	Control	884.543
Axon_length	Control	835.252
Axon_length	Control	1235.92
Axon_length	Control	1104.511
Axon_length	siRNA	859.599
Axon_length	siRNA	296.854
Axon_length	siRNA	64.077
Axon_length	siRNA	427.026
Axon_length	siRNA	150.824
Axon_length	siRNA	726.697
Axon_length	siRNA	127.772
Axon_length	siRNA	612.985
Axon_length	siRNA	38.522
Axon_length	siRNA	982.922
Axon_length	siRNA	178.769
Axon_length	siRNA	344.463
Axon_length	siRNA	258.072
Axon_length	siRNA	332.071
Axon_length	siRNA	159.631
Axon_length	siRNA	461.485
Axon_length	siRNA	189.565
Axon_length	siRNA	408.674
Axon_length	siRNA	345.829
Axon_length	siRNA	345.829
Axon_length	siRNA	775.633
Axon_length	siRNA	903.422
Axon_length	siRNA	658.387
Axon_length	siRNA	856.135
Axon_length	siRNA	930.862
Bundle_length	Control	2621.494
Bundle_length	Control	1715.266
Bundle_length	Control	2574.638
Bundle_length	Control	1042.054
Bundle_length	Control	1088.808
Bundle_length	Control	799.902
Bundle_length	Control	972.775
Bundle_length	Control	403.412
Bundle_length	Control	368.252
Bundle_length	Control	1573.607
Bundle_length	Control	778.225
Bundle_length	Control	909.399
Bundle_length	Control	1435.729
Bundle_length	Control	2071.718
Bundle_length	Control	2038.725
Bundle_length	Control	1196.82
Bundle_length	Control	925.983
Bundle_length	Control	1014.84
Bundle_length	Control	1809.05
Bundle_length	Control	1493.151
Bundle_length	Control	1047.529
Bundle_length	Control	651.694
Bundle_length	Control	910.917
Bundle_length	Control	673.34
Bundle_length	Control	688.873
Bundle_length	Control	726.694
Bundle_length	Control	496.586
Bundle_length	siRNA	314.743
Bundle_length	siRNA	788.902
Bundle_length	siRNA	436.274
Bundle_length	siRNA	101.794
Bundle_length	siRNA	688.32
Bundle_length	siRNA	142.599
Bundle_length	siRNA	129.213
Bundle_length	siRNA	2137.689
Bundle_length	siRNA	48.376
Bundle_length	siRNA	63.577
Bundle_length	siRNA	492.968
Bundle_length	siRNA	223.995
Bundle_length	siRNA	232.738
Bundle_length	siRNA	297.661
Bundle_length	siRNA	143.059
Bundle_length	siRNA	352.97
Bundle_length	siRNA	240.202
Bundle_length	siRNA	283.753
Bundle_length	siRNA	101.103
Bundle_length	siRNA	61.406
Bundle_length	siRNA	150.163
